zone_idx,imp_idx,retest_idx,direction,entry,stop,tp,rr
255,256,359,short,155.692,155.69243945517732,155.6608752595083,70.82574537388813
256,257,338,short,155.691,155.69157175980618,155.6608752595083,52.68775483379164
261,262,1662,short,155.663,155.6620728048303,155.59591596738866,67084032.611347765
265,266,273,short,155.668,155.66810225361846,155.59591596738866,704.9533669664228
266,267,268,short,155.677,155.6802469029051,155.59591596738866,24.97273093183835
278,279,280,short,155.658,155.65818576375048,155.59591596738866,334.20962080171114
279,280,426,short,155.647,155.64738500387185,155.59591596738866,132.68446461369516
282,283,387,short,155.635,155.63530205610454,155.59591596738866,129.39328827753616
284,285,288,short,155.612,155.61309160716948,155.59591596738866,14.734268023283951
297,298,329,short,155.629,155.63005089218555,155.57634695746984,50.10318209006327
306,307,382,short,155.601,155.60162111009325,155.57634695746984,39.691904540151064
323,324,539,short,155.648,155.6481395205408,155.6162573265192,227.51254615153252
324,325,404,short,155.641,155.64253739230807,155.6162573265192,16.093923034973187
340,341,347,short,155.684,155.6832049874879,155.6738294898544,10170510.14559911
345,346,502,short,155.7,155.69918110808672,155.6738294898544,26170510.145590242
346,347,502,short,155.7,155.69862636376774,155.6738294898544,26170510.145590242
347,348,355,short,155.684,155.68454461818453,155.6738294898544,18.67456951386101
349,350,358,short,155.678,155.6776626883968,155.67746773326735,532266.7326481678
361,362,363,short,155.694,155.6941139447519,155.5739700286541,1053.4049995900937
368,369,534,short,155.686,155.68594963676207,155.5739700286541,112029971.34591895
369,370,437,short,155.68,155.67878907720964,155.5739700286541,106029971.34591873
372,373,428,short,155.666,155.66620919132632,155.5739700286541,439.93206106987395
373,374,392,short,155.616,155.6177047831286,155.5739700286541,24.65414552802371
374,375,381,short,155.592,155.5925184253309,155.5739700286541,34.77833792434138
400,401,712,short,155.622,155.62214602021103,155.6095348194995,85.36613126015924
408,409,415,short,155.618,155.61827160580728,155.6095348194995,31.16715575830119
410,411,420,short,155.61,155.61018413028032,155.6027923398894,39.14434985253037
416,417,420,short,155.61,155.60961353629494,155.6027923398894,7207660.110623237
431,432,540,short,155.674,155.67531261393574,155.65700663158714,12.946204478098977
457,458,569,short,155.742,155.74312482471254,155.7019250814549,35.62770100801812
475,476,498,short,155.768,155.76855013957987,155.730370472621,68.39996385605548
482,483,569,short,155.742,155.74213683062555,155.68169141244195,440.7535762505508
483,484,560,short,155.736,155.74120407782627,155.68169141244195,10.435775438217021
485,486,494,short,155.764,155.7644909238088,155.68169141244195,167.660614708547
486,487,509,short,155.754,155.75435764557525,155.68169141244195,202.17945519035135
492,493,631,short,155.776,155.7761698824773,155.68169141244195,555.1401714168337
494,495,632,short,155.764,155.76416261773116,155.68169141244195,506.14768129111644
495,496,514,short,155.756,155.75871747871528,155.68169141244195,27.344680618891456
499,500,516,short,155.734,155.73417614949844,155.68169141244195,296.9556429309606
501,502,527,short,155.707,155.70828648373953,155.68169141244195,19.672683595059876
503,504,518,short,155.712,155.71306704066637,155.68169141244195,28.404341570902954
506,507,516,short,155.734,155.7351586630365,155.6887001656912,39.096642321946646
515,516,641,short,155.752,155.7528115901319,155.6887001656912,77.9948299291228
518,519,558,short,155.712,155.71234420917716,155.6299374273646,238.40902008967467
526,527,656,short,155.721,155.72279901317967,155.6299374273646,50.61806865273639
541,542,664,short,155.674,155.6740337577978,155.65087515721513,685.0222557588653
547,548,654,short,155.697,155.69888587424066,155.65087515721513,24.45806925536127
559,560,567,short,155.708,155.7081275298469,155.67289962960464,275.232592578989
567,568,571,short,155.708,155.70808024563237,155.67289962960464,437.4115993148027
568,569,651,short,155.688,155.68757507383688,155.67289962960464,15100370.395344952
569,570,574,short,155.742,155.74351439124706,155.67289962960464,45.62914011092972
579,580,630,short,155.774,155.77445490717167,155.76969968216198,9.453176616685507
582,583,625,short,155.793,155.79344711867088,155.77764568715128,34.34057633650649
585,586,1729,short,155.817,155.8172253256225,155.77764568715128,174.65529402747438
591,592,626,short,155.779,155.77962880058766,155.7764493954405,4.056301170110477
594,595,1679,short,155.786,155.78409516699998,155.7764493954405,9550604.559507292
597,598,1688,short,155.81,155.8101447020972,155.7764493954405,231.85983623031632
602,603,1925,short,155.822,155.8221291562824,155.7764493954405,352.6781951199987
609,610,1886,short,155.836,155.83615557971905,155.7472914375512,570.1807600571595
612,613,614,short,155.844,155.84410159245894,155.7472914375512,951.9265844281035
613,614,1727,short,155.85,155.8498646315484,155.7472914375512,102708562.44878246
618,619,1701,short,155.864,155.86405132776852,155.7472914375512,2273.7899156787403
635,636,1738,short,155.814,155.81416645033306,155.75176953552378,373.8680682033937
636,637,638,short,155.772,155.77277538863552,155.75176953552378,26.09074153161988
652,653,655,short,155.707,155.70726123396585,155.66767315958745,150.54259993844997
657,658,1670,short,155.746,155.748060607346,155.66767315958745,38.01153119506265
659,660,670,short,155.698,155.69836850966783,155.66767315958745,82.295915305974
666,667,678,short,155.69,155.69297926008673,155.6457152066728,14.864359618821899
672,673,700,short,155.677,155.67628783318358,155.6457152066728,31284793.327188253
681,682,685,short,155.709,155.70948244694804,155.6885664480084,42.35398746860777
704,705,1669,short,155.692,155.69206159172342,155.62154628766447,1143.8827887338743
715,716,1659,short,155.642,155.64207025935715,155.40380151905333,3390.27412972246
725,726,1598,short,155.592,155.59208788710473,155.40380151905333,2141.366262584498
727,728,1563,short,155.56,155.56019229072618,155.40380151905333,812.303765517491
729,730,733,short,155.554,155.555231461059,155.40380151905333,121.9677064476704
737,738,740,short,155.503,155.50422919599836,155.40380151905333,80.70192310879058
739,740,769,short,155.516,155.51623642605625,155.40380151905333,474.560556991056
742,743,777,short,155.462,155.46413274454144,155.40380151905333,27.28806934699102
762,763,1575,short,155.585,155.58545463280188,155.4485873459319,300.05018006871796
764,765,1565,short,155.548,155.5483790783405,155.4485873459319,262.2483097734731
766,767,1626,short,155.546,155.54652213929782,155.4485873459319,186.56449432785786
767,768,1461,short,155.532,155.53526132957256,155.4485873459319,25.57627256383473
