entry_idx,exit_idx,direction,entry_price,exit_price,raw_pnl_pips,pnl_pips,touches_high,touches_low,touches_total,bars_held,params
191,1191,long,155.73,155.48,-25.0,-29.0,53,15,68,1000,"Fast (1H zones, 3 pips)"
1314,2314,long,155.581,157.27,168.90000000000214,164.90000000000214,13,8,21,1000,"Fast (1H zones, 3 pips)"
2377,3377,short,157.082,156.732,34.99999999999943,30.99999999999943,0,3,3,1000,"Fast (1H zones, 3 pips)"
3446,4446,long,156.88,156.727,-15.299999999999159,-19.29999999999916,6,0,6,1000,"Fast (1H zones, 3 pips)"
4536,5536,short,156.564,157.0,-43.600000000000705,-47.600000000000705,0,13,13,1000,"Fast (1H zones, 3 pips)"
5600,6600,short,156.936,157.01,-7.399999999998386,-11.399999999998386,0,2,2,1000,"Fast (1H zones, 3 pips)"
6720,7720,long,157.183,156.419,-76.39999999999816,-80.39999999999816,39,0,39,1000,"Fast (1H zones, 3 pips)"
7847,8847,short,156.028,157.026,-99.80000000000189,-103.80000000000189,0,7,7,1000,"Fast (1H zones, 3 pips)"
8998,9998,short,156.834,157.368,-53.39999999999918,-57.39999999999918,0,4,4,1000,"Fast (1H zones, 3 pips)"
10119,11119,short,157.284,157.23,5.400000000000205,1.4000000000002046,46,32,78,1000,"Fast (1H zones, 3 pips)"
11214,12214,short,157.062,156.48,58.200000000002206,54.200000000002206,1,13,14,1000,"Fast (1H zones, 3 pips)"
12335,13335,short,156.447,155.874,57.30000000000075,53.30000000000075,12,11,23,1000,"Fast (1H zones, 3 pips)"
13679,14679,long,155.981,156.406,42.50000000000114,38.50000000000114,4,2,6,1000,"Fast (1H zones, 3 pips)"
14849,15849,long,156.496,156.417,-7.900000000000773,-11.900000000000773,14,5,19,1000,"Fast (1H zones, 3 pips)"
16040,17040,short,156.026,155.647,37.90000000000191,33.90000000000191,0,1,1,1000,"Fast (1H zones, 3 pips)"
17285,18285,long,155.711,155.664,-4.700000000002547,-8.700000000002547,6,1,7,1000,"Fast (1H zones, 3 pips)"
18372,19372,long,155.796,155.339,-45.69999999999936,-49.69999999999936,16,4,20,1000,"Fast (1H zones, 3 pips)"
19520,20520,short,155.12,154.144,97.59999999999991,93.59999999999991,0,37,37,1000,"Fast (1H zones, 3 pips)"
20784,21784,short,153.994,153.522,47.20000000000084,43.20000000000084,0,10,10,1000,"Fast (1H zones, 3 pips)"
21903,22903,short,153.108,153.568,-46.000000000000796,-50.000000000000796,2,7,9,1000,"Fast (1H zones, 3 pips)"
22973,23973,long,153.764,153.954,18.999999999999773,14.999999999999773,2,0,2,1000,"Fast (1H zones, 3 pips)"
24317,25317,long,153.992,154.172,18.000000000000682,14.000000000000682,13,48,61,1000,"Fast (1H zones, 3 pips)"
25381,26381,short,153.96,154.134,-17.399999999997817,-21.399999999997817,0,3,3,1000,"Fast (1H zones, 3 pips)"
26453,27453,long,154.295,154.685,39.00000000000148,35.00000000000148,6,0,6,1000,"Fast (1H zones, 3 pips)"
27531,28531,long,154.887,154.898,1.099999999999568,-2.900000000000432,15,0,15,1000,"Fast (1H zones, 3 pips)"
28594,29594,long,155.122,154.76,-36.20000000000232,-40.20000000000232,3,0,3,1000,"Fast (1H zones, 3 pips)"
29776,30776,short,154.5,155.158,-65.7999999999987,-69.7999999999987,0,28,28,1000,"Fast (1H zones, 3 pips)"
30853,31853,short,155.052,154.988,6.399999999999295,2.399999999999295,1,12,13,1000,"Fast (1H zones, 3 pips)"
32077,33077,long,155.324,156.423,109.89999999999895,105.89999999999895,39,0,39,1000,"Fast (1H zones, 3 pips)"
33309,34309,long,156.472,156.202,-27.000000000001023,-31.000000000001023,3,1,4,1000,"Fast (1H zones, 3 pips)"
34545,35545,short,155.718,155.923,-20.50000000000125,-24.50000000000125,0,13,13,1000,"Fast (1H zones, 3 pips)"
35607,36607,long,156.037,155.866,-17.099999999999227,-21.099999999999227,2,0,2,1000,"Fast (1H zones, 3 pips)"
36734,37734,long,156.106,156.51,40.399999999999636,36.399999999999636,37,0,37,1000,"Fast (1H zones, 3 pips)"
37970,38970,long,156.623,156.436,-18.69999999999834,-22.69999999999834,16,19,35,1000,"Fast (1H zones, 3 pips)"
39036,40036,short,156.302,157.152,-84.99999999999943,-88.99999999999943,0,3,3,1000,"Fast (1H zones, 3 pips)"
40233,41233,long,157.266,156.974,-29.20000000000016,-33.20000000000016,11,16,27,1000,"Fast (1H zones, 3 pips)"
