,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,atr_60_zsarctan_w20,vol_ratio_deviation,realized_vol_20_zsarctan_w20,realized_vol_60_zsarctan_w20,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,rsi_extreme,bb_position,hour_sin,hour_cos,dow_sin,dow_cos
log_return_1m,1.0,0.4426497383899199,0.12813259647238862,-0.006973831330032975,0.28530883417992337,-0.006602710097264539,-0.007481616873797184,-0.008296018524678877,-0.003832962480851933,-0.00620256364792252,-0.010413572792813179,0.03213435621337221,0.2114793486815866,0.003100166172342201,0.005321710055341002,0.005314220502378133,0.02973755144180321,0.029906755736237148,0.014783631943058869,0.31364656526326096,0.37890945151338523,0.0002770405767047351,-0.0012714037181158903,0.0023587416854387697,0.0008942729748709985
log_return_5m,0.4426497383899199,1.0,0.286503025216479,-0.01591711144507332,0.5750181301215559,-0.026653772335981457,-0.031056950768317722,-0.030215726156674796,-0.014063545158724843,-0.02315102458550247,-0.030860820072834815,0.06493161021837066,0.3636340490259164,0.0010890572842523242,0.03504150514652619,0.040503762429702,0.29346558664750205,0.29585183137113646,-0.04586731166160971,0.5971435770262765,0.6416061142551968,0.0005373932394123196,-0.0030361095542039114,0.0053468725429650235,0.0020313469190135353
log_return_60m,0.12813259647238862,0.286503025216479,1.0,-0.00363564008349166,0.010424877757144827,-0.1316147945092664,-0.023893273976979892,-0.12735712380222933,-0.04167958531544202,-0.027372463280983802,-0.09691352587618046,0.12614069203725103,0.06682588432277416,-0.029921763382998304,0.1802690946959299,0.18149376461944766,-0.0012126498433252637,-0.003572307455095729,-0.3782823110921088,0.5352281531863092,0.3346798753448345,-0.00015276350991948501,-0.01053850880398449,0.019342433371532457,0.006592883853997646
efficiency_ratio_h1,-0.006973831330032975,-0.01591711144507332,-0.00363564008349166,1.0,-0.006249853109033974,0.12993427975655317,0.06678389015587712,0.13472277404658078,0.08939291717027123,0.06557624350811081,0.093463679108294,-0.0021268952996412686,-0.003545743675089415,0.20763009919418135,0.09026192391111787,-0.08576243767013797,-0.003023205941700625,-0.003314908428489116,-0.007355016760223085,0.01683825758410875,0.010177479652454255,0.024094303843891253,-0.0014105209151407594,0.0009288254885792367,0.012670569748025384
momentum_strength_10_zsarctan_w20,0.28530883417992337,0.5750181301215559,0.010424877757144827,-0.006249853109033974,1.0,0.009927880524854618,-0.011734147829631225,0.009033312297856548,0.016575434083808425,0.0024942508914265857,0.003146609798590469,0.021115932434437414,0.36979765924719765,0.0058561080431822855,-0.031551643871465127,-0.026613573341807722,0.476984258471555,0.4760888010660697,0.08223545174403013,0.409561946243084,0.5917900590599454,0.0007332775351494223,-0.0005540791821509163,0.0007230268328038572,0.0006545325865789672
atr_14,-0.006602710097264539,-0.026653772335981457,-0.1316147945092664,0.12993427975655317,0.009927880524854618,1.0,0.2218459079365483,0.3869369313067629,0.2447923681470135,0.21038587250442398,0.30996474365698473,-0.01445681965806212,0.002140185076796701,0.1048864685025701,0.025338733255567625,-0.05080822924048438,-0.01500669123743946,0.023440810173963156,0.04241107641116552,-0.04146367731061879,-0.021523205722772734,0.31189969180668475,-0.04636410064682558,-0.06105729695692277,0.009628578692919013
atr_14_zsarctan_w20,-0.007481616873797184,-0.031056950768317722,-0.023893273976979892,0.06678389015587712,-0.011734147829631225,0.2218459079365483,1.0,0.36878638027409455,0.4095606657940102,0.7223720039154943,0.401676552361409,-0.014283939297911689,-0.022913469145226826,0.10745815917240405,0.039258762359543425,-0.07577329607749848,-0.02398785590827154,0.006819789001123708,0.016403481040802914,-0.050283358210960055,-0.04216235069059875,0.008200364688717392,0.04591532295514108,0.004046637475947702,-0.001996929525560253
atr_60_zsarctan_w20,-0.008296018524678877,-0.030215726156674796,-0.12735712380222933,0.13472277404658078,0.009033312297856548,0.3869369313067629,0.36878638027409455,1.0,0.4208577489602848,0.3396801270882205,0.8467076013348591,-0.022250358454802343,-0.005566505929861975,0.22395121225179956,0.05719143146343707,-0.1222078953854445,-0.004349285664719153,0.012628624946274824,0.045110280021182475,-0.050901584783330366,-0.02723549596438526,0.028070634321541423,0.10920900963798176,0.0004604593985102222,-0.00362318360788367
vol_ratio_deviation,-0.003832962480851933,-0.014063545158724843,-0.04167958531544202,0.08939291717027123,0.016575434083808425,0.2447923681470135,0.4095606657940102,0.4208577489602848,1.0,0.6906563835229643,0.48074226911672585,-0.015941819819784306,-0.013762538039331678,0.14685393734710975,0.05331977292078542,-0.09461199267053236,-0.024820533051844243,0.04373073894524753,0.023260410860452895,-0.04739028653530306,-0.027151047188175424,0.04058794406000053,0.07566904425721896,0.002663758785657208,-0.005086450979324618
realized_vol_20_zsarctan_w20,-0.00620256364792252,-0.02315102458550247,-0.027372463280983802,0.06557624350811081,0.0024942508914265857,0.21038587250442398,0.7223720039154943,0.3396801270882205,0.6906563835229643,1.0,0.47318751573750567,-0.014156205336907934,-0.01697444563137602,0.12359338812355088,0.0465214792585835,-0.08830750180058393,-0.02262618043497652,0.022346075442203253,0.017234593164367117,-0.044770185017860446,-0.03442049507091859,0.0074245409574015125,0.03476222311155991,0.0021760993034919958,-0.0021589527843230583
realized_vol_60_zsarctan_w20,-0.010413572792813179,-0.030860820072834815,-0.09691352587618046,0.093463679108294,0.003146609798590469,0.30996474365698473,0.401676552361409,0.8467076013348591,0.48074226911672585,0.47318751573750567,1.0,-0.020611181053787325,-0.013693628121813881,0.21109352449807173,0.06647705073134177,-0.13246355329018686,-0.001785538322020094,0.0032772190526626803,0.03350312056545711,-0.04716099731486857,-0.026897941642434926,0.01660541647011243,0.06870933995989555,0.001340625977616865,-0.0036933394623881338
h1_trend_slope_zsarctan,0.03213435621337221,0.06493161021837066,0.12614069203725103,-0.0021268952996412686,0.021115932434437414,-0.01445681965806212,-0.014283939297911689,-0.022250358454802343,-0.015941819819784306,-0.014156205336907934,-0.020611181053787325,1.0,0.022341912099127812,0.06550382527020311,0.6668359608722022,0.4409580213085124,0.01385840666428092,0.012156981732619454,-0.02647600885457819,0.11203853564727548,0.08580275196979102,-0.005553494099581862,-0.0008261025786178032,0.0008276864262441916,-0.0011570858288732085
h1_swing_range_position_zsarctan_w20,0.2114793486815866,0.3636340490259164,0.06682588432277416,-0.003545743675089415,0.36979765924719765,0.002140185076796701,-0.022913469145226826,-0.005566505929861975,-0.013762538039331678,-0.01697444563137602,-0.013693628121813881,0.022341912099127812,1.0,-0.0025021992887713823,-0.09915404255138627,-0.089615832506013,0.18877822298210936,0.18935985428306637,0.21862623613411594,0.4114336188910061,0.44791449511690895,0.0013817217059416556,-0.0015757672822641561,0.0006815310549464302,-0.0016008718015514897
swing_point_range_zsarctan_w20,0.003100166172342201,0.0010890572842523242,-0.029921763382998304,0.20763009919418135,0.0058561080431822855,0.1048864685025701,0.10745815917240405,0.22395121225179956,0.14685393734710975,0.12359338812355088,0.21109352449807173,0.06550382527020311,-0.0025021992887713823,1.0,0.34524515989528337,-0.36213338805356,-0.0003389673492132756,0.007658603940287826,0.003441355952070189,-0.009447133398555076,-0.007421597216382647,0.004914189539148969,0.0278380506090597,1.2200815756274955e-05,-0.0017517508202311175
high_swing_slope_h1_zsarctan,0.005321710055341002,0.03504150514652619,0.1802690946959299,0.09026192391111787,-0.031551643871465127,0.025338733255567625,0.039258762359543425,0.05719143146343707,0.05331977292078542,0.0465214792585835,0.06647705073134177,0.6668359608722022,-0.09915404255138627,0.34524515989528337,1.0,0.025291564022153348,-0.013293809742454858,-0.012715807104709886,-0.18098511693501965,0.13085643929112076,0.07608302299571047,-0.0007409772350433025,0.00043471901441891406,-0.0013381761311906774,-0.0009471057816723536
