bar_index,timestamp,close,high,low,volume,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,vol_ratio_deviation,realized_vol_60_zsarctan_w20,h1_swing_range_position,swing_point_range,high_swing_slope_h1,low_swing_slope_h1,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,bb_position,hour_sin,hour_cos,dow_sin,dow_cos,pretrain_action
1333892,2025-08-06 19:40:00,196.646000,196.657000,196.640000,70,-0.000051,-0.000102,-0.000346,0.098266,0.029782,0.020929,0.136855,0.117483,0.008341,0.257576,0.264000,-0.223256,-0.092405,0.000000,0.019231,0.031449,0.000000,0.101390,0.393126,0.092813,0.024593,0.130149,-0.965926,0.258819,-0.669131,-0.743145,0
1333893,2025-08-06 19:41:00,196.632000,196.650000,196.627000,93,-0.000071,-0.000081,-0.000315,0.090379,-0.148033,0.021714,0.147512,0.149453,0.003539,0.204545,0.264000,-0.223256,-0.092405,0.000000,0.005956,0.020976,0.000000,0.067912,0.367923,0.063724,0.011177,-0.005123,-0.965926,0.258819,-0.669131,-0.743145,0
1333894,2025-08-06 19:42:00,196.630000,196.638000,196.628000,60,-0.000010,-0.000036,-0.000305,0.087719,-0.135650,0.021500,0.132626,0.132192,0.002341,0.196970,0.264000,-0.223256,-0.092405,0.000000,0.000620,0.010491,0.000000,0.034053,0.341348,0.045828,0.002549,-0.034793,-0.965926,0.258819,-0.669131,-0.743145,0
1333895,2025-08-06 19:43:00,196.624000,196.634000,196.617000,64,-0.000031,-0.000244,-0.000417,0.121662,-0.174877,0.021857,0.131120,0.148902,-0.003726,0.174242,0.264000,-0.223256,-0.092405,0.000000,-0.007471,0.000000,0.000000,0.000000,0.313387,-0.144521,0.000000,-0.104056,-0.965926,0.258819,-0.669131,-0.743145,0
1333896,2025-08-06 19:44:00,196.631000,196.632000,196.624000,51,0.000036,-0.000127,-0.000270,0.080425,-0.314296,0.020286,0.081634,0.158499,-0.011383,0.200758,0.264000,-0.223256,-0.092405,0.000000,-0.003771,0.000000,0.000000,0.000000,0.284045,-0.145977,0.000000,-0.056140,-0.965926,0.258819,-0.669131,-0.743145,0
1333897,2025-08-06 19:45:00,196.638000,196.642000,196.620000,92,0.000036,-0.000041,-0.000173,0.051988,-0.221003,0.020143,0.070878,0.163022,-0.013198,0.227273,0.264000,-0.223256,-0.092405,0.000000,-0.000106,0.000000,0.000000,0.000000,0.253350,0.132207,0.000000,-0.001673,-0.965926,0.258819,-0.669131,-0.743145,0
1333898,2025-08-06 19:46:00,196.688000,196.688000,196.637000,143,0.000254,0.000285,0.000163,0.046512,0.135614,0.023214,0.141258,0.268430,0.026703,0.416667,0.264000,-0.223256,-0.092405,0.000000,0.031866,0.000000,0.000000,0.000000,0.221359,0.116332,0.000000,0.497404,-0.965926,0.258819,-0.669131,-0.743145,0
1333899,2025-08-06 19:47:00,196.665000,196.688000,196.650000,153,-0.000117,0.000178,-0.000020,0.005731,0.055980,0.025000,0.174051,0.307132,0.030695,0.329545,0.264000,-0.223256,-0.092405,0.000000,0.013671,0.000000,0.000000,0.000000,0.188160,0.100310,0.000000,0.223429,-0.965926,0.258819,-0.669131,-0.743145,0
1333900,2025-08-06 19:48:00,196.631000,196.662000,196.620000,83,-0.000173,0.000036,-0.000239,0.065007,-0.312281,0.025214,0.166370,0.360784,0.045029,0.200758,0.264000,-0.223256,-0.092405,0.000000,-0.011241,0.000000,0.000000,0.000000,0.153873,0.019048,0.000000,-0.202066,-0.965926,0.258819,-0.669131,-0.743145,0
1333901,2025-08-06 19:49:00,196.650000,196.654000,196.625000,88,0.000097,0.000097,-0.000071,0.019231,-0.137586,0.025786,0.166370,0.372912,0.044447,0.272727,0.264000,-0.223256,-0.092405,0.000000,0.000740,0.000000,0.000000,0.000000,0.118652,0.006010,0.000000,0.014818,-0.965926,0.258819,-0.669131,-0.743145,0
