bar_index,timestamp,close,high,low,volume,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,vol_ratio_deviation,realized_vol_60_zsarctan_w20,h1_swing_range_position,swing_point_range,high_swing_slope_h1,low_swing_slope_h1,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,bb_position,hour_sin,hour_cos,dow_sin,dow_cos
171,2022-01-02 20:23:00,155.920000,155.920000,155.912000,6,0.000026,0.000224,0.001213,0.293023,0.115810,0.013214,-0.059789,-0.427384,-0.005770,1.058824,0.238000,0.095146,-0.087500,0.000000,0.035146,0.000000,0.000000,0.000000,0.241942,0.125574,0.000000,0.421861,-0.866025,0.500000,0.156434,0.987688
172,2022-01-02 20:24:00,155.926000,155.926000,155.922000,2,0.000038,0.000167,0.001065,0.266881,0.052726,0.013071,-0.057938,-0.410913,-0.021826,1.000000,0.258000,0.055556,-0.087500,-0.019294,0.020633,0.054480,-0.038588,0.000000,-0.118138,0.108612,0.033527,0.456121,-0.866025,0.500000,0.156434,0.987688
173,2022-01-02 20:25:00,155.922000,155.924000,155.922000,2,-0.000026,0.000103,0.000982,0.247974,0.065043,0.012643,-0.061932,-0.486964,-0.020089,0.984496,0.258000,0.055556,-0.087500,-0.018281,0.015238,0.051626,-0.036562,0.000000,-0.142660,0.091492,0.028048,0.381158,-0.866025,0.500000,0.156434,0.987688
174,2022-01-02 20:26:00,155.895000,155.919000,155.895000,15,-0.000173,-0.000096,0.000828,0.201248,-0.149102,0.013571,-0.029372,-0.298219,0.001401,0.879845,0.258000,0.055556,-0.087500,-0.017267,-0.005537,0.048769,-0.034535,0.000000,-0.147381,-0.259830,-0.016433,0.084992,-0.866025,0.500000,0.156434,0.987688
175,2022-01-02 20:27:00,155.900000,155.902000,155.897000,6,0.000032,-0.000103,0.000732,0.182109,-0.169320,0.013643,-0.019851,-0.330823,-0.005779,0.899225,0.258000,0.055556,-0.087500,-0.016253,-0.002753,0.045911,-0.032507,0.000000,-0.152086,-0.241379,-0.011242,0.122838,-0.866025,0.500000,0.156434,0.987688
176,2022-01-02 20:28:00,155.896000,155.897000,155.894000,3,-0.000026,-0.000154,0.000513,0.133333,-0.207048,0.012714,-0.038978,-0.311170,-0.024158,0.883721,0.258000,0.055556,-0.087500,-0.015239,-0.005963,0.043050,-0.030479,0.000000,-0.137923,-0.222491,-0.016022,0.063275,-0.866025,0.500000,0.156434,0.987688
177,2022-01-02 20:29:00,155.887000,155.896000,155.885000,14,-0.000058,-0.000250,0.000237,0.064348,-0.334466,0.012643,-0.037019,-0.252830,-0.047936,0.848837,0.258000,0.055556,-0.087500,-0.014225,-0.012414,0.040188,-0.028449,0.000000,-0.123620,-0.203187,-0.022336,-0.052742,-0.866025,0.500000,0.156434,0.987688
178,2022-01-02 20:30:00,155.878000,155.890000,155.878000,8,-0.000058,-0.000282,0.000180,0.047945,-0.389340,0.012571,-0.035255,-0.239001,-0.042778,0.813953,0.258000,0.055556,-0.087500,-0.013210,-0.018656,0.037325,-0.026420,0.000000,-0.109190,-0.183487,-0.026388,-0.170508,-0.866025,0.500000,0.156434,0.987688
179,2022-01-02 20:31:00,155.872000,155.884000,155.872000,9,-0.000038,-0.000148,0.000180,0.047945,-0.416842,0.012214,-0.041524,-0.254004,-0.039909,0.790698,0.258000,0.055556,-0.087500,-0.012195,-0.022908,0.034459,-0.024390,0.000000,-0.094646,-0.163420,-0.028096,-0.265874,-0.866025,0.500000,0.156434,0.987688
180,2022-01-02 20:32:00,155.882000,155.882000,155.864000,17,0.000064,-0.000115,0.000282,0.074830,-0.374656,0.012500,-0.030647,-0.243218,-0.036002,0.829457,0.258000,0.055556,-0.087500,-0.011179,-0.015757,0.031593,-0.022359,0.000000,-0.080001,-0.313449,-0.022312,-0.156562,-0.866025,0.500000,0.156434,0.987688
375,2022-01-02 23:52:00,155.585000,155.594000,155.582000,11,-0.000045,-0.000591,-0.000360,0.121739,-0.489929,0.012286,0.142193,0.176655,0.055246,0.064000,0.125000,0.021053,-0.084615,0.000000,-0.126691,0.000000,0.000000,0.000000,-0.184495,-0.023774,0.000000,-0.651448,-0.258819,0.965926,0.309017,0.951057
