zone_idx,imp_idx,retest_idx,direction,entry,stop,tp,rr
17,18,81,short,155.678,155.67833432999998,155.577,302.0967307867731
22,23,65,short,155.658,155.66833433,155.577,7.837953694137856
24,25,26,short,155.658,155.66033432999998,155.577,34.69946408610195
27,28,60,short,155.638,155.65733433,155.577,3.1550097676015154
32,33,34,short,155.612,155.61233433,155.577,104.6869859072997
47,48,49,short,155.612,155.62433433,155.577,2.8376085283879777
52,53,57,short,155.612,155.60333433,155.577,34999999.99999659
67,68,78,short,155.657,155.66133433,155.604,12.22795680076756
71,72,73,short,155.632,155.64033433,155.604,3.3595981920565405
85,86,88,short,155.696,155.69833433,155.67,11.138099583199232
103,104,105,short,155.692,155.69033432999998,155.572,120000000.00000454
109,110,189,short,155.702,155.69633432999998,155.572,129999999.99999544
116,117,176,short,155.673,155.68233433,155.572,10.82027312083276
118,119,174,short,155.666,155.67233432999998,155.572,14.839769952020875
150,151,169,short,155.642,155.64333433,155.606,26.979832575318447
161,162,168,short,155.625,155.62533433,155.589,107.67804265667665
196,197,198,short,155.741,155.75533432999998,155.7,2.860266228007535
224,225,231,short,155.764,155.77033433,155.731,5.209706472520735
225,226,231,short,155.764,155.76733432999998,155.731,9.897040784890564
239,240,243,short,155.762,155.77833433,155.676,5.264984850923086
244,245,258,short,155.762,155.77233433,155.676,8.321777996247508
247,248,249,short,155.712,155.71033433,155.676,36000000.00000136
249,250,252,short,155.735,155.72033433,155.688,47000000.000025466
281,282,291,short,155.691,155.69833433,155.63,8.317051455289576
283,284,286,short,155.674,155.68033433,155.634,6.31479572426783
287,288,290,short,155.676,155.68233433,155.634,6.63053551044833
291,292,293,short,155.698,155.69633432999998,155.634,64000000.00002137
297,298,300,short,155.68,155.68533433,155.634,8.623388504305593
313,314,315,short,155.742,155.72433433,155.671,70999999.99999794
316,317,320,short,155.742,155.75233433,155.671,6.870305089924053
328,329,330,short,155.805,155.79533433,155.76,45000000.000015914
331,332,343,short,155.81,155.82033433,155.76,4.838243021074517
348,349,351,short,155.826,155.82833433,155.76,28.27363740349544
349,350,351,short,155.826,155.82233433,155.76,66000000.000002496
365,366,367,short,155.84,155.88033432999998,155.733,2.652827008656275
370,371,1436,short,155.85,155.85433433,155.733,26.993791427931644
381,382,1424,short,155.798,155.81833433,155.647,7.425865519052332
391,392,403,short,155.748,155.76633433,155.647,5.50879143115187
392,393,403,short,155.748,155.77633433,155.647,3.564580492991163
403,404,425,short,155.733,155.75433433,155.647,4.031061673837653
404,405,425,short,155.733,155.75933433,155.647,3.2656991842975005
457,458,461,short,155.642,155.67233432999998,155.382,8.571146948031917
463,464,1338,short,155.652,155.66433433,155.382,21.890122933279343
468,469,471,short,155.592,155.62233433,155.382,6.922849458026284
469,470,471,short,155.592,155.61833433,155.382,7.9743817290976695
479,480,505,short,155.594,155.55633433,155.382,211999999.99998906
481,482,504,short,155.536,155.54433433,155.382,18.47779005631609
483,484,485,short,155.516,155.51233433,155.382,133999999.99998613
485,486,487,short,155.48,155.51833433,155.382,2.5564552712931263
486,487,501,short,155.491,155.52333432999998,155.382,3.3710301094877377
505,506,507,short,155.558,155.60333433,155.441,2.5808256127306355
518,519,1023,short,155.521,155.53633433,155.441,5.217052195953463
520,521,524,short,155.502,155.50233433,155.441,182.45446116827182
525,526,531,short,155.507,155.52133433,155.438,4.813618773952567
526,527,530,short,155.49,155.50733433,155.438,2.9998275099223535
548,549,562,short,155.474,155.49033433,155.409,3.9793490152318367
550,551,557,short,155.46,155.47233433,155.409,4.134800998519435
562,563,564,short,155.454,155.47833433,155.392,2.5478408487122004
574,575,577,short,155.486,155.50633433,155.392,4.622724230402827
580,581,594,short,155.463,155.48633433,155.392,3.042727174937654
582,583,585,short,155.449,155.45633433,155.392,7.7716710319932325
583,584,585,short,155.449,155.45433433,155.39,11.060433081609231
600,601,703,short,155.463,155.48433433,155.39,3.42171514174576
609,610,699,short,155.39,155.40833433,155.128,14.290132227344607
611,612,672,short,155.327,155.38233433,155.128,3.5963207650663644
615,616,617,short,155.291,155.31733433,155.128,6.189639151633132
618,619,634,short,155.296,155.30233433,155.128,26.52214204179332
622,623,624,short,155.208,155.20633433,155.162,45999999.99999227
628,629,631,short,155.224,155.24233433,155.162,3.38163434387453
662,663,664,short,155.304,155.31633433,155.218,6.972409526913951
672,673,674,short,155.339,155.36233433,155.218,5.18549279109148
674,675,676,short,155.336,155.34333433,155.218,16.08872248728281
684,685,688,short,155.29,155.31033433,155.218,3.5408100488195435
685,686,688,short,155.29,155.29833433,155.178,13.438392768229573
706,707,940,short,155.448,155.48533433,155.178,7.231949789913472
711,712,890,short,155.378,155.43233433,155.178,3.6809140740287867
721,722,723,short,155.221,155.24033433,155.104,6.051412177201702
729,730,815,short,155.221,155.26233433,155.104,2.8305769078641454
735,736,737,short,155.148,155.17833432999998,155.05,3.230663080411641
744,745,747,short,155.116,155.15233433,154.89,6.22001286387007
747,748,749,short,155.098,155.12433433,154.89,7.898435236440316
752,753,754,short,155.062,155.06433433,154.89,73.68281262729926
756,757,771,short,155.017,155.05033433,154.89,3.809886084406087
791,792,807,short,155.134,155.13633432999998,154.949,79.25186241887452
792,793,804,short,155.098,155.11133433,154.949,11.174164731192967
830,831,832,short,155.211,155.22133433,155.184,2.612651231388304
839,840,841,short,155.237,155.24733433,155.192,4.354418718964864
847,848,849,short,155.31,155.31833433,155.264,5.519339886950761
862,863,865,short,155.317,155.32433433,155.264,7.226290608693015
931,932,933,short,155.399,155.40433432999998,155.38,3.5618343822126004
935,936,937,short,155.419,155.42833432999998,155.38,4.178125264494417
952,953,974,short,155.44,155.45833432999999,155.38,3.272549365045941
953,954,972,short,155.434,155.45433433,155.38,2.655607536614658
957,958,959,short,155.408,155.41233433,155.38,6.460052649418137
965,966,968,short,155.403,155.40033433,155.38,22999999.999996133
975,976,977,short,155.438,155.44533433,155.38,7.908016137783767
991,992,993,short,155.452,155.45133433,155.38,72000000.00000273
998,999,1000,short,155.434,155.44833433,155.38,3.767179910049059
1000,1001,1003,short,155.44,155.44233433,155.38,25.703306730450397
1024,1025,1028,short,155.505,155.52633433,155.416,4.17168010431968
1029,1030,1090,short,155.49,155.50533432999998,155.416,4.825773281267659
1034,1035,1039,short,155.452,155.46633433,155.416,2.511453273366039
1045,1046,1079,short,155.43,155.44733433,155.378,2.9998275099223535
1046,1047,1075,short,155.423,155.44033432999998,155.378,2.5960045758942183
1057,1058,1060,short,155.402,155.39833432999998,155.349,52999999.999997266
1064,1065,1075,short,155.423,155.41033432999998,155.349,74000000.00001228
1081,1082,1083,short,155.471,155.44433433,155.452,19000000.000005458
1128,1129,1130,short,155.474,155.47833433,155.46,3.2300263247057903
1147,1148,1149,short,155.441,155.47533433,155.328,3.291166596231116
1169,1170,1171,short,155.462,155.49033433,155.384,2.752844341122017
1170,1171,1172,short,155.469,155.48133433,155.384,6.891334997514977
1194,1195,1197,short,155.493,155.47633433,155.457,36000000.00000136
1217,1218,1219,short,155.524,155.54833433,155.382,5.835377427694404
1233,1234,1285,short,155.51,155.51433433,155.382,29.531669254488534
1238,1239,1241,short,155.478,155.49933433,155.382,4.499789775446186
1270,1271,1274,short,155.442,155.44233433,155.408,101.69592917580684
1277,1278,1283,short,155.462,155.45933433,155.408,54000000.00000204
1291,1292,1309,short,155.56,155.57633433,155.484,4.652777310116984
1292,1293,1309,short,155.56,155.57633433,155.484,4.652777310116984
1324,1325,1326,short,155.596,155.60733433,155.558,3.3526463408131892
1329,1330,1331,short,155.606,155.61233433,155.558,7.5777548690838055
1332,1333,1336,short,155.616,155.61633433,155.558,173.48129094692462
1339,1340,1403,short,155.648,155.66033432999998,155.558,7.296707644444029
1357,1358,1382,short,155.594,155.61033433,155.517,4.713998064197768
1363,1364,1381,short,155.589,155.59833433,155.517,7.713462026732626
1364,1365,1377,short,155.578,155.58633433,155.517,7.319124632697651
1466,1467,1491,short,155.892,155.91033432999998,155.782,5.999673835916526
1467,1468,1491,short,155.892,155.91033432999998,155.782,5.999673835916526
1473,1474,1487,short,155.848,155.86833433,155.782,3.2457425447512485
1488,1489,1490,short,155.873,155.87433433,155.86,9.742717318639722
1495,1496,1515,short,155.93,155.90833433,155.86,69999999.99999318
1534,1535,1553,short,156.0,156.01133432999998,155.897,9.087436134307586
1536,1537,1540,short,155.983,155.99733433,155.897,5.999582819708421
1545,1546,1552,short,155.978,155.97333433,155.897,81000000.00001727
1553,1554,1558,short,155.978,156.00233433,155.899,3.2464423717458892
1563,1564,1581,short,155.976,155.98533433,155.899,8.249119111921884
1564,1565,1580,short,155.97,155.98333433,155.899,5.324601986004517
1586,1587,1709,short,155.981,155.99433433,155.844,10.274232001163973
1587,1588,1709,short,155.981,156.00033433,155.844,7.085841609202609
1588,1589,1708,short,155.964,155.98033433,155.844,7.3464904896593115
1589,1590,1708,short,155.964,155.97833433,155.844,8.371510911220131
1593,1594,1663,short,155.919,155.94833433,155.844,2.5567313110631713
1599,1600,1638,short,155.904,155.90633433,155.844,25.703306730450397
1613,1614,1619,short,155.88,155.88233433,155.841,16.70714937478667
1625,1626,1638,short,155.904,155.88033432999998,155.827,76999999.99999818
1631,1632,1633,short,155.866,155.85533433,155.84,26000000.000010457
1641,1642,1653,short,155.911,155.92833432999998,155.84,4.095918330853755
1643,1644,1647,short,155.896,155.88833433,155.84,55999999.99998317
1654,1655,1662,short,155.934,155.92733433,155.873,61000000.00000705
1655,1656,1658,short,155.91,155.92233432999998,155.873,2.9997575871607074
1658,1659,1660,short,155.907,155.91233433,155.786,22.68326106566495
1662,1663,1664,short,155.909,155.93633433,155.786,4.4998359206163325
1665,1666,1703,short,155.932,155.93233433,155.786,436.6942840704526
1681,1682,1685,short,155.84,155.85333433,155.757,6.224534716033508
1685,1686,1692,short,155.831,155.84433433,155.757,5.5495851684988695
1730,1731,1733,short,156.226,156.21833433,156.142,84000000.00000317
1772,1773,1786,short,156.336,156.36733433,156.232,3.319043362345297
1803,1804,1806,short,156.45,156.45833432999999,156.405,5.399354237233847
1814,1815,1816,short,156.449,156.46733433,156.376,3.98160172747282
1816,1817,1820,short,156.462,156.45833432999999,156.376,85999999.99998431
1818,1819,1820,short,156.462,156.42033433,156.376,85999999.99998431
1831,1832,1835,short,156.505,156.51933433,156.46,3.1393165917065575
1842,1843,1852,short,156.48,156.48033433,156.394,257.23087965791456
1858,1859,1882,short,156.541,156.56233433,156.402,6.515320612365013
1862,1863,1864,short,156.472,156.49633433,156.402,2.876594506610888
1864,1865,1868,short,156.464,156.47833433,156.402,4.325280637464395
1865,1866,1868,short,156.464,156.47233433,156.402,7.439110282414565
1868,1869,1870,short,156.448,156.46633433,156.392,3.0543794073767288
1879,1880,1881,short,156.51,156.52233433,156.392,9.566794467137138
1892,1893,1925,short,156.632,156.58133433,156.392,240000000.0000091
1894,1895,1897,short,156.504,156.52633433,156.392,5.014701582718668
1897,1898,1900,short,156.522,156.51033433,156.392,129999999.99999544
1905,1906,1920,short,156.462,156.47333433,156.392,6.17592746990117
1943,1944,1948,short,156.755,156.76433433,156.698,6.106490771161806
1959,1960,1982,short,156.798,156.76133432999998,156.618,180000000.00000682
1980,1981,1982,short,156.798,156.71433432999999,156.672,126000000.00000477
1982,1983,1984,short,156.81,156.80033433,156.748,62000000.00001182
2007,2008,2011,short,156.798,156.81233433,156.748,3.488129546342382
2064,2065,2066,short,157.005,156.99933433,156.924,80999999.99998885
2093,2094,2097,short,157.146,157.17033433,157.079,2.7533118848940585
2116,2117,2118,short,157.248,157.27933432999998,157.079,5.393445463809861
2121,2122,2123,short,157.288,157.30233433,157.079,14.580381503708063
2133,2134,2148,short,157.324,157.34133433,157.079,14.133802690974896
2134,2135,2147,short,157.266,157.33533433,157.079,2.69707661413867
2145,2146,2147,short,157.266,157.25433433,157.262,3999999.9999906775
2159,2160,2163,short,157.341,157.35433433,157.262,5.924557139357888
2177,2178,2179,short,157.242,157.26233433,157.07,8.458601783290666
2198,2199,2282,short,157.394,157.42533433,157.07,10.340096628844021
2217,2218,2230,short,157.199,157.20833432999999,157.034,17.676683811317613
2218,2219,2229,short,157.178,157.20233432999999,157.034,5.917565842169368
2240,2241,2242,short,157.243,157.25633433,157.198,3.3747477376076556
2251,2252,2253,short,157.315,157.32833433,157.26,4.124691679299904
2267,2268,2273,short,157.298,157.31233433,157.255,2.9997914098542107
2275,2276,2277,short,157.342,157.34633433,157.246,22.14875194101492
2282,2283,3673,short,157.396,157.39633433,157.246,448.65851103126016
2286,2287,2288,short,157.33,157.36233433,157.246,2.5978580660248514
2290,2291,2309,short,157.32,157.34433433,157.246,3.040971335554928
2291,2292,2294,short,157.32,157.34133433,157.246,3.468587951905547
2295,2296,2308,short,157.308,157.32033433,157.246,5.026620821714991
2310,2311,2312,short,157.332,157.34633433,157.185,10.25510086624367
2314,2315,3650,short,157.334,157.32933433,157.185,149000000.0000009
2332,2333,2345,short,157.212,157.22633433,157.14,5.022906546732078
2341,2342,2343,short,157.202,157.21133433,157.104,10.498878869717378
2348,2349,2431,short,157.214,157.22833433,157.104,7.673885001950464
2354,2355,2357,short,157.166,157.17833432999998,157.104,5.026620821726573
2357,2358,2368,short,157.17,157.17433433,157.104,15.227266959341348
2369,2370,2423,short,157.148,157.17033433,157.07,3.4923814593936533
2371,2372,2373,short,157.136,157.14433433,157.07,7.919052881278811
2381,2382,2383,short,157.094,157.09433433,157.069,74.77641850523837
2404,2405,2409,short,157.105,157.11033433,157.065,7.49859869935135
2406,2407,2409,short,157.105,157.09733433,157.098,6999999.99997658
2435,2436,2437,short,157.202,157.22633433,157.098,4.273797552677098
2437,2438,2601,short,157.206,157.22033433,157.098,7.534359820096134
2456,2457,2459,short,157.118,157.12233433,157.098,4.614323321010145
2484,2485,2502,short,157.132,157.14233432999998,157.07,5.99942134614868
2486,2487,2489,short,157.112,157.12033433,157.07,5.039397288086516
2492,2493,2501,short,157.126,157.13033432999998,157.035,20.995171110754818
2493,2494,2500,short,157.108,157.12833433,157.035,3.5899879661644927
2530,2531,2538,short,157.122,157.12433433,157.086,15.421984038270239
2539,2540,2541,short,157.12,157.12533433,157.086,6.373808894482341
2547,2548,2549,short,157.11,157.11533433,157.086,4.499159219635847
2554,2555,2560,short,157.137,157.13233433,157.086,50999999.99998772
2561,2562,2564,short,157.151,157.15333433,157.069,35.12785253162366
2567,2568,2600,short,157.162,157.15333433,157.069,93000000.00001773
2569,2570,2591,short,157.124,157.13833433,157.069,3.8369425009762237
