entry_bar,entry_time,direction,entry_price,exit_price,pips,bars_held,exit_reason
10243,2022-01-11 23:39:00,long,157.39,157.342,-4.8,37,bullish_pullback
10286,2022-01-12 00:22:00,long,157.36,157.356,-0.4,8,bullish_pullback
10296,2022-01-12 00:32:00,short,157.346,157.366,-2.0,27,bearish_rally
10325,2022-01-12 01:01:00,short,157.346,157.367,-2.1,20,bearish_rally
10351,2022-01-12 01:27:00,short,157.344,157.376,-3.2,10,bearish_rally
10370,2022-01-12 01:46:00,short,157.35,157.354,-0.4,74,bearish_rally
10576,2022-01-12 05:12:00,short,157.17,157.253,-8.3,32,bearish_rally
10673,2022-01-12 06:49:00,long,157.353,157.474,12.1,206,bullish_pullback
10959,2022-01-12 11:35:00,short,157.142,157.0,14.2,221,bearish_rally
11222,2022-01-12 15:58:00,long,157.016,157.1,8.4,164,bullish_pullback
11392,2022-01-12 19:07:00,long,157.194,157.116,-7.8,9,bullish_pullback
11414,2022-01-12 19:29:00,long,157.176,157.142,-3.4,28,bullish_pullback
11443,2022-01-12 19:58:00,long,157.176,157.136,-4.0,4,bullish_pullback
11453,2022-01-12 20:08:00,long,157.162,157.12,-4.2,1,bullish_pullback
11496,2022-01-12 20:51:00,short,157.081,157.15,-6.9,19,bearish_rally
11622,2022-01-12 22:57:00,short,157.082,157.141,-5.9,9,bearish_rally
11656,2022-01-12 23:31:00,short,157.098,157.128,-3.0,6,bearish_rally
11672,2022-01-12 23:47:00,short,157.108,157.137,-2.9,8,bearish_rally
11682,2022-01-12 23:57:00,short,157.11,157.134,-2.4,6,bearish_rally
11694,2022-01-13 00:09:00,short,157.114,157.106,0.8,64,bearish_rally
11794,2022-01-13 01:49:00,long,157.121,157.105,-1.6,60,bullish_pullback
11867,2022-01-13 03:02:00,long,157.174,157.31,13.6,205,bullish_pullback
12089,2022-01-13 06:44:00,long,157.366,157.338,-2.8,4,bullish_pullback
12094,2022-01-13 06:49:00,long,157.351,157.31,-4.1,3,bullish_pullback
12237,2022-01-13 09:12:00,short,156.904,157.003,-9.9,36,bearish_rally
12375,2022-01-13 11:30:00,short,156.694,156.57,12.4,145,bearish_rally
12746,2022-01-13 17:58:00,long,156.548,156.474,-7.4,58,bullish_pullback
12817,2022-01-13 19:10:00,long,156.52,156.494,-2.6,7,bullish_pullback
12825,2022-01-13 19:18:00,long,156.506,156.489,-1.7,1,bullish_pullback
12846,2022-01-13 19:39:00,short,156.464,156.204,26.0,209,bearish_rally
13194,2022-01-14 01:27:00,long,156.193,156.136,-5.7,10,bullish_pullback
13215,2022-01-14 01:48:00,long,156.209,156.154,-5.5,16,bullish_pullback
13241,2022-01-14 02:14:00,long,156.19,156.162,-2.8,8,bullish_pullback
13342,2022-01-14 03:55:00,long,156.296,156.376,8.0,162,bullish_pullback
13605,2022-01-14 08:18:00,short,155.89,155.845,4.5,113,bearish_rally
13728,2022-01-14 10:21:00,short,155.678,155.682,-0.4,84,bearish_rally
